,barrio,Distrito,Vulnerabilidad,Esperanza de vida (años),Renta media hogar (€),Código,Superficiekm²2,fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,num_personas,num_personas_hombres,num_personas_mujeres
39,CORRALEJOS,Barajas,128.0,"84,7",64.548,215,4.633,1 de enero de 2023,28079.0,Madrid,21, Barajas,215,7.626,3.749,3.877
40,CORTES,Centro,56.0,"80,9",32.403,13,0.592,1 de enero de 2023,28079.0,Madrid,1, Centro,13,10.816,5.350,5.466
41,COSTILLARES,Ciudad Lineal,86.0,"83,9",64.341,159,1.427,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,159,21.914,10.232,11.682
42,CUATRO CAMINOS,Tetuán,62.0,"83,5",40.897,62,1.193,1 de enero de 2023,28079.0,Madrid,6, Tetuán,62,34.753,15.537,19.216
43,CUATRO VIENTOS,Latina,49.0,"80,6",35.486,106,5.419,1 de enero de 2023,28079.0,Madrid,10, Latina,106,6.122,3.068,3.054
44,DELICIAS,Arganzuela,82.0,"83,5",37.964,25,1.057,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,25,28.575,13.463,15.112
45,GOLOSO,Fuencarral-El Pardo,112.0,"88,7",52.624,88,26.509,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,88,19.036,9.377,9.659
46,PARDO,Fuencarral-El Pardo,75.0,"80,2",36.34,81,187.642,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,81,3.421,1.716,1.705
47,PLANTIO,Moncloa-Aravaca,125.0,"79,2",114.186,96,3.554,1 de enero de 2023,28079.0,Madrid,9, Moncloa-Aravaca,96,3.044,1.413,1.631
48,VISO,Chamartín,126.0,"84,7",113.001,51,1.708,1 de enero de 2023,28079.0,Madrid,5, Chamartín,51,17.274,7.810,9.464
49,EMBAJADORES,Centro,42.0,82,23.833,12,1.032,1 de enero de 2023,28079.0,Madrid,1, Centro,12,46.204,24.094,22.110
50,ENTREVIAS,Puente de Vallecas,2.0,80,20.937,131,5.997,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,131,35.399,16.976,18.423
51,ESTRELLA,Retiro,119.0,"85,4",57.297,33,1.025,1 de enero de 2023,28079.0,Madrid,3, Retiro,33,22.649,10.393,12.256
52,FONTARRON,Moratalaz,44.0,"81,8",27.349,145,0.964,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,145,17.333,7.876,9.457
53,FUENTE DEL BERRO,Salamanca,92.0,"83,9",39.343,43,0.852,1 de enero de 2023,28079.0,Madrid,4, Salamanca,43,20.929,9.129,11.800
54,FUENTELARREINA,Fuencarral-El Pardo,107.0,"84,9",97.93,82,1.382,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,82,3.410,1.559,1.851
55,GAZTAMBIDE,Chamberí,94.0,"83,8",42.285,71,0.506,1 de enero de 2023,28079.0,Madrid,7, Chamberí,71,22.959,10.157,12.802
56,GOYA,Salamanca,105.0,"83,8",47.232,42,0.771,1 de enero de 2023,28079.0,Madrid,4, Salamanca,42,29.477,12.872,16.605
57,GUINDALERA,Salamanca,99.0,"84,9",44.888,44,1.598,1 de enero de 2023,28079.0,Madrid,4, Salamanca,44,41.964,19.006,22.958
58,HELLIN,San Blas,24.0,"81,5",22.633,202,0.549,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,202,9.555,4.375,5.180
